edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
SOD3,0.056496286,8.80709863,727.4688081,3.49E-157,3.17E-156,4
PLOD2,0.046252071,8.205021773,751.9188618,3.90E-119,2.67E-118,4
CTNNB1,0.050180231,8.875425811,956.4798002,8.40E-205,1.04E-203,4
ZBTB43,0.049055116,8.360476435,840.2055369,1.18E-158,1.08E-157,4
SLC25A23,0.039997369,8.203236202,650.3049487,4.68E-86,2.49E-85,4
SFN,0.084492697,9.822939163,2397.756116,0,0,4
TMEM251,0.041113176,8.212507417,705.267062,1.68E-97,9.80E-97,4
PROM1,0.056621402,8.291250799,918.7050207,5.92E-187,6.53E-186,4
MYEOV,0.041667273,8.320963032,572.8752761,7.27E-111,4.70E-110,4
C6orf132,0.054612457,8.6938381,1205.273469,6.89E-256,1.21E-254,4
EPN1,0.046903426,8.50853631,939.0195649,3.42E-201,4.15E-200,4
CDC26,0.044218162,8.439410052,783.2754641,1.16E-153,1.03E-152,4
ZNF664,0.044771723,8.313432229,764.525442,1.25E-122,8.80E-122,4
PLAUR,0.075188023,9.406470713,1504.39797,1.89294439038817e-316,5.14908537316347e-315,4
PTRH1,0.042761096,8.293274791,705.2718491,9.44E-123,6.66E-122,4
KIF1B,0.03872727,8.165439753,703.6811929,4.52E-85,2.38E-84,4
FAM58A,0.042495633,8.283781603,677.5733032,9.53E-108,6.05E-107,4
EPHA2,0.066030749,8.828390732,1411.892918,8.08E-298,1.93E-296,4
GEM,0.052887254,8.271028289,825.5942016,3.38E-155,3.03E-154,4
PKIG,0.034831521,8.254191436,411.9221443,3.21E-69,1.47E-68,4
LMNA,0.069001654,9.628327249,2501.717095,0,0,4
TRAF4,0.053247025,8.639282825,1144.165258,3.50E-238,5.47E-237,4
RNF139,0.042844423,8.271508632,674.9963069,8.55E-110,5.48E-109,4
IER3IP1,0.041258603,8.390276997,638.840758,8.11E-118,5.51E-117,4
CSRNP1,0.046801201,8.415123444,746.9443027,1.26E-159,1.17E-158,4
ZNF511,0.044159492,8.545199886,742.4400186,2.58E-160,2.40E-159,4
ABHD14B,0.041388205,8.530029659,688.512194,4.27E-144,3.54E-143,4
VPS37B,0.054469948,8.453629737,1142.055092,1.63E-221,2.26E-220,4
HBEGF,0.067906858,8.940177147,1390.18371,1.96E-293,4.54E-292,4
ATF4,0.056423614,9.349622869,1755.174699,0,0,4
AQP3,0.036857225,8.181099311,431.0040432,8.33E-68,3.78E-67,4
TRIM16,0.04897313,8.309593707,811.9910433,6.85E-143,5.61E-142,4
RCAN1,0.048985019,8.245370037,680.1466294,1.35E-136,1.05E-135,4
INO80C,0.052310089,8.394018627,860.7093632,6.45E-183,6.95E-182,4
GBAS,0.039209037,8.360036274,572.0971194,1.44E-104,8.92E-104,4
SAMD4B,0.04757112,8.249288021,866.6007118,6.63E-131,4.96E-130,4
AHR,0.041966496,8.310491677,626.3466509,8.06E-105,4.99E-104,4
CRIP2,0.031561251,8.224765019,263.2566844,2.11E-44,7.63E-44,4
ERRFI1,0.057638465,8.741748125,1001.586372,4.10E-214,5.39E-213,4
FAM195A,0.044534,8.746886916,745.1833988,6.89E-161,6.43E-160,4
TFRC,0.05796228,8.541256745,1141.816306,6.39E-243,1.03E-241,4
NAA10,0.043798619,8.884451685,845.8111129,7.30E-182,7.80E-181,4
MAZ,0.042587807,8.422151419,709.1568223,5.42E-133,4.12E-132,4
FOSL1,0.046906042,8.525906511,607.0013641,6.72E-132,5.07E-131,4
PLAU,0.04198136,8.458078124,390.9203916,4.05E-86,2.16E-85,4
TNFAIP3,0.04320475,8.564824608,519.3716783,2.12E-113,1.39E-112,4
NDUFA4L2,0.019831666,8.218735551,85.88930205,2.18E-16,5.52E-16,4
RPAIN,0.041353771,8.413280212,688.1635825,4.00E-129,2.96E-128,4
HIGD2A,0.04510318,9.332213097,984.5228001,1.36E-210,1.75E-209,4
IER3,0.070791883,10.48209176,2159.104019,0,0,4
CRNDE,0.028230952,8.199372874,292.9256163,5.19E-41,1.80E-40,4
CDKN1A,0.055507202,8.725432136,1090.538099,2.07E-232,3.10E-231,4
MRS2,0.038003017,8.197163839,608.5841854,2.80E-80,1.42E-79,4
FGGY,0.047491552,8.621495711,421.250751,1.40E-92,7.89E-92,4
PHLDA2,0.079512354,10.49296344,2310.38537,0,0,4
TBC1D7,0.040106585,8.184372068,702.3005461,1.27E-90,7.00E-90,4
CLDN4,0.079887783,11.56701673,3271.661433,0,0,4
AGPAT2,0.066616192,9.271610816,1798.141837,0,0,4
AVPI1,0.051677452,8.66400547,868.3753755,1.50E-186,1.65E-185,4
SLC25A33,0.046478563,8.345059699,778.4791303,9.36E-141,7.53E-140,4
SEPT9,0.049142447,8.499616935,1036.084894,6.12E-209,7.82E-208,4
HGSNAT,0.035354732,8.196839207,505.6049608,1.90E-69,8.77E-69,4
CD74,0.059750999,9.756482749,860.2184269,7.40E-185,8.04E-184,4
RP11-54H7.4,0.036541677,8.289645378,399.9134178,2.70E-79,1.36E-78,4
SF1,0.049536341,8.826797524,1289.374588,5.22E-273,1.04E-271,4
GPX1,0.051083133,9.713952709,1027.103257,2.27E-219,3.10E-218,4
HLA-DMA,0.040794276,8.328748365,471.3227411,8.08E-100,4.81E-99,4
AEN,0.035501071,8.200083017,498.4209201,3.25E-64,1.43E-63,4
CARD19,0.048144779,8.500440123,912.9290306,8.62E-196,1.01E-194,4
RHPN2,0.054323924,8.34786296,1075.898362,4.90E-195,5.70E-194,4
PIM3,0.056161634,8.808438966,1246.419081,2.84E-264,5.30E-263,4
CS,0.046748915,8.319657195,851.9270681,8.62E-140,6.90E-139,4
FAM84B,0.046039768,8.368082218,730.987383,4.56E-139,3.63E-138,4
EWSR1,0.056021263,8.561951709,1524.043817,2.14671523118022e-320,6.02167209151311e-319,4
KLF6,0.094164816,10.34616025,3051.803203,0,0,4
SLCO4A1,0.05311367,8.345652532,996.2352186,1.01E-205,1.27E-204,4
KLHDC3,0.042471635,8.291588638,703.7114017,3.15E-114,2.08E-113,4
RBCK1,0.053511054,9.271073453,1035.035891,5.28E-221,7.28E-220,4
SLC35E4,0.043770233,8.187068696,805.9620139,5.70E-105,3.54E-104,4
TRIB1,0.06621807,9.052060536,1580.612964,0,0,4
CKS2,0.053914305,9.064983951,1021.029428,4.04E-218,5.46E-217,4
LIF,0.043981056,8.37342504,523.3101635,3.11E-114,2.06E-113,4
PRDM1,0.034966072,8.219055971,394.5524925,9.98E-71,4.65E-70,4
FAM91A1,0.043045204,8.262734441,695.9143802,9.18E-108,5.83E-107,4
NOL4L,0.041892899,8.272539541,687.5465371,5.24E-110,3.37E-109,4
PHLDA3,0.049158891,8.410105316,655.964449,3.39E-142,2.76E-141,4
AK4,0.042917038,8.266293385,656.4043595,6.75E-103,4.12E-102,4
GTF2I,0.056625805,8.612731633,1372.200586,8.47E-290,1.90E-288,4
LINC00998,0.037289636,8.360760952,526.3606043,1.48E-100,8.83E-100,4
ZFP36L1,0.071902226,9.473979491,2245.674775,0,0,4
FOSL2,0.054086148,8.414025482,1088.526796,6.09E-216,8.07E-215,4
PARD6B,0.058409573,8.404702379,1163.611275,1.93E-246,3.18E-245,4
AKAP1,0.057764063,8.465146166,1350.887356,2.31E-282,4.90E-281,4
MXI1,0.04472607,8.231860082,793.2070142,6.93E-119,4.73E-118,4
DUSP1,0.064919883,9.746325884,1344.595118,3.28E-284,7.06E-283,4
REL,0.050502269,8.41195662,983.3861261,9.80E-204,1.21E-202,4
SERINC5,0.054693682,8.467706467,1178.595377,8.93E-248,1.49E-246,4
TMED3,0.05691915,8.770046622,1360.979952,1.58E-287,3.49E-286,4
APOA1BP,0.046662558,8.539226986,839.7350103,1.34E-180,1.42E-179,4
EHD4,0.053883749,8.351260628,1084.26866,1.54E-203,1.90E-202,4
ELOF1,0.044095721,8.425174083,823.2249597,1.52E-153,1.34E-152,4
RHOB,0.077794134,9.860486035,2847.091443,0,0,4
SLC10A3,0.040668923,8.216234693,641.1514946,7.34E-90,4.03E-89,4
PLEKHJ1,0.055057622,8.724675452,1294.365819,5.05E-274,1.02E-272,4
LSM10,0.040979367,8.282167236,664.5400221,2.86E-106,1.79E-105,4
ACAA2,0.064148558,8.660630247,1355.568182,1.97E-286,4.30E-285,4
EIF4A1,0.060468329,8.981712956,1823.668626,0,0,4
ARL5B,0.053928238,8.372096584,1025.688629,5.92E-204,7.31E-203,4
UBAP1,0.047048425,8.208821373,940.4817616,7.54E-131,5.64E-130,4
INPP1,0.056369732,8.300597382,1152.560561,5.12E-207,6.45E-206,4
MAFF,0.059991123,8.621901533,1297.012317,1.47E-274,2.98E-273,4
CBLB,0.035802988,8.136843555,686.7535284,9.40E-73,4.46E-72,4
SMOX,0.042296804,8.219710692,648.6387339,1.32E-96,7.67E-96,4
BABAM1,0.047346136,8.395862931,924.2539067,6.36E-171,6.31E-170,4
PTP4A2,0.070247323,8.873235305,2208.645184,0,0,4
MYD88,0.05244874,8.213879187,1125.664615,1.09E-162,1.03E-161,4
INSIG1,0.0838075,8.971178053,1541.574191,4.94065645841247e-324,1.43279037293961e-322,4
GADD45A,0.073143376,8.88041009,1784.707621,0,0,4
C14orf1,0.054161125,8.416039035,991.8857052,4.11E-212,5.33E-211,4
B4GALT1,0.055756156,8.348988745,967.2994004,4.88E-207,6.15E-206,4
VCL,0.056795857,8.424059983,1190.317084,7.71E-251,1.31E-249,4
TOR3A,0.042736881,8.180409381,812.652571,1.30E-105,8.10E-105,4
AREG,0.111154659,10.94661477,2351.132894,0,0,4
BHLHE40,0.061234468,8.629052847,1279.790278,4.62E-271,9.13E-270,4
LRRFIP1,0.070046876,8.84108154,2302.691381,0,0,4
IFNGR2,0.052191391,8.504742455,1019.852004,7.06E-218,9.53E-217,4
ATP2A2,0.056960586,8.443762706,1325.005965,1.04E-247,1.74E-246,4
TPRA1,0.045818511,8.206829208,900.3676719,7.89E-121,5.47E-120,4
ARL5A,0.04705281,8.490329785,888.107124,8.18E-186,8.96E-185,4
TMEM41A,0.051198848,8.360666642,983.8807135,1.02E-186,1.12E-185,4
STX3,0.046881286,8.405696558,831.4842811,5.94E-155,5.31E-154,4
ASAP1,0.035925101,8.188284863,499.7107363,1.00E-65,4.47E-65,4
TMEM189,0.053463566,8.286819757,1085.271283,4.92E-179,5.16E-178,4
PLPP5,0.04523664,8.308167317,781.3014538,8.25E-136,6.41E-135,4
SLC35D2,0.047603837,8.262632599,867.1666704,6.99E-134,5.35E-133,4
BRI3,0.074023663,9.086427057,2064.948402,0,0,4
PPP2R5C,0.044938769,8.420521403,811.0911391,7.94E-163,7.48E-162,4
EIF1,0.058983497,11.34813274,2018.474489,0,0,4
SLC39A3,0.042713765,8.238794791,742.9732319,2.41E-112,1.57E-111,4
TOB1,0.061128983,9.132028464,1674.02546,0,0,4
FLNB,0.064588011,8.603539138,1630.386871,0,0,4
C14orf166,0.044246948,8.969981999,833.2997329,2.92E-179,3.07E-178,4
SOWAHC,0.047384143,8.389310128,808.0643003,7.52E-164,7.14E-163,4
SLC25A37,0.033892094,8.254905758,442.7267591,1.20E-73,5.73E-73,4
POLM,0.030115921,8.139363921,488.9092973,8.52E-55,3.41E-54,4
FTX,0.019947512,8.134405683,207.7278563,3.29E-24,9.32E-24,4
NECAB3,0.025929958,8.173323103,297.1446825,1.15E-37,3.84E-37,4
MBD6,0.029435597,8.148869893,432.4577969,8.04E-47,2.98E-46,4
PRPF8,0.034752313,8.249273268,482.6006119,5.55E-72,2.61E-71,4
NF1,0.037917337,8.237871298,579.7027525,4.87E-87,2.61E-86,4
MYO15B,0.024862929,8.20171856,237.0171161,2.25E-32,7.05E-32,4
SMPD2,0.030863926,8.158028918,463.3119658,1.34E-53,5.29E-53,4
FAM83G,0.025512306,8.153864827,291.8201093,4.96E-32,1.55E-31,4
FAHD2A,0.026464544,8.146834738,356.083016,1.37E-38,4.62E-38,4
SEC16A,0.037988128,8.200580777,602.4169592,1.33E-82,6.89E-82,4
DNM2,0.041584258,8.437939393,691.944959,1.57E-149,1.35E-148,4
SIN3A,0.02624858,8.153718722,333.6789007,6.74E-38,2.25E-37,4
LINC00152,0.026258659,8.558790092,214.7789505,2.33E-48,8.75E-48,4
HMG20B,0.039268056,8.380094881,631.1967734,6.29E-118,4.28E-117,4
WSB1,0.048190601,8.6419362,997.9804006,2.27E-213,2.98E-212,4
LRFN4,0.029549648,8.194307968,359.8862512,1.77E-45,6.45E-45,4
DROSHA,0.027657015,8.130286675,442.7425845,3.53E-44,1.27E-43,4
NPIPB5,0.001484751,8.100646379,0.775809211,0.761679697,0.811250803,4
LINC00668,0.014034496,8.14721232,84.57491297,7.21E-11,1.66E-10,4
PVT1,0.02230468,8.219712247,184.6317379,7.61E-26,2.20E-25,4
FARP2,0.030225577,8.171667283,418.1495471,1.19E-51,4.61E-51,4
SMG1,0.040260847,8.409440487,670.5403725,4.91E-137,3.85E-136,4
PCGF3,0.030491958,8.190124611,400.1387451,1.67E-51,6.46E-51,4
KCTD5,0.045311966,8.218682717,849.8743058,5.04E-132,3.80E-131,4
KLF4,0.050413007,9.28651242,1047.805954,1.24E-223,1.75E-222,4
ABCD4,0.032031663,8.179834541,456.9249562,1.79E-60,7.57E-60,4
AGAP3,0.028493251,8.174349429,365.0632947,7.51E-46,2.76E-45,4
KIAA0319L,0.035906329,8.191378041,558.4257795,2.13E-74,1.03E-73,4
MYO1E,0.042280375,8.280504127,696.7624136,7.53E-130,5.60E-129,4
RNF216,0.031822255,8.176386165,464.7646352,2.56E-60,1.08E-59,4
INPP5D,0.025347181,8.135259298,341.0683211,5.33E-36,1.74E-35,4
GTPBP3,0.02400392,8.139813569,306.7819833,2.49E-32,7.81E-32,4
KLHDC4,0.027141059,8.157006824,358.0918484,4.49E-42,1.58E-41,4
LINC00511,0.030511229,8.231915253,362.4148174,2.89E-58,1.20E-57,4
MTOR,0.020245261,8.108086362,306.3532642,3.47E-26,1.01E-25,4
LGALSL,0.040099641,8.183963114,656.7446412,2.97E-92,1.66E-91,4
DAB2IP,0.033918705,8.145407264,593.829587,7.69E-65,3.40E-64,4
LATS1,0.029629202,8.123629411,547.3255235,8.40E-51,3.23E-50,4
LONP2,0.038251791,8.266469546,587.9057527,9.48E-91,5.25E-90,4
ZNF721,0.026001528,8.152126714,332.4010937,8.73E-38,2.91E-37,4
CLMN,0.041577272,8.230106007,678.4589769,9.21E-112,5.99E-111,4
IL17RE,0.039871639,8.216311166,661.6219594,1.38E-97,8.05E-97,4
IKBKB,0.02725439,8.145837618,381.5872876,3.59E-43,1.28E-42,4
PIGG,0.028063151,8.129440189,461.2278036,1.74E-46,6.41E-46,4
NSMAF,0.02550216,8.142368742,335.3291323,1.38E-35,4.47E-35,4
ZNF3,0.034555884,8.174279696,543.2331832,1.35E-69,6.23E-69,4
ACACA,0.026127865,8.147699528,342.4698624,5.42E-38,1.81E-37,4
B3GALNT2,0.026660852,8.147336474,353.7834745,1.17E-40,4.05E-40,4
TXNDC11,0.032586337,8.171359678,491.0268074,3.92E-63,1.70E-62,4
PLAGL1,0.025639463,8.146453541,312.6163203,1.60E-36,5.25E-36,4
MED14,0.03322253,8.167681135,497.0742323,2.46E-57,1.01E-56,4
ABHD5,0.033643566,8.191278372,455.6860597,1.47E-63,6.41E-63,4
ZNF302,0.019738303,8.116639166,257.9451461,1.08E-24,3.06E-24,4
MAT2A,0.049401938,8.39615505,908.8068593,6.16E-195,7.15E-194,4
ETV6,0.036198318,8.190431203,563.0832037,8.91E-75,4.31E-74,4
AFF4,0.042307664,8.364857336,702.2562482,8.10E-138,6.40E-137,4
SCAF4,0.030802366,8.189443106,402.626378,2.95E-51,1.14E-50,4
DALRD3,0.032272637,8.2369795,415.8216735,9.31E-66,4.15E-65,4
MOB3B,0.035746296,8.124938509,783.8242205,9.85E-78,4.89E-77,4
ATP5G2,0.040099441,10.17744191,619.7642679,1.38E-134,1.06E-133,4
GNB2L1,0.047406346,11.74367853,597.9111099,5.52E-130,4.11E-129,4
VAC14,0.032506818,8.13795815,592.4964724,1.29E-61,5.54E-61,4
SPATA13,0.03740962,8.230839223,533.8004764,8.27E-81,4.22E-80,4
MFSD11,0.032316738,8.145644438,536.1915286,1.71E-57,7.00E-57,4
ABCC1,0.02744109,8.130368075,425.2003338,2.13E-41,7.43E-41,4
SBF2,0.030304052,8.18787328,389.6249476,2.83E-49,1.08E-48,4
KLF16,0.028187282,8.216934074,309.4768713,3.61E-40,1.24E-39,4
MIOS,0.032071942,8.153144145,512.8495976,1.42E-58,5.90E-58,4
MGRN1,0.031980633,8.205760628,423.431495,9.70E-56,3.92E-55,4
RELB,0.035783429,8.224396123,493.9379182,4.79E-77,2.36E-76,4
MARK3,0.043161854,8.309827484,753.7247273,2.11E-128,1.55E-127,4
KIAA0100,0.031700893,8.153221884,499.0471045,1.22E-56,4.96E-56,4
ITPR3,0.04280432,8.330967027,698.8167354,1.45E-137,1.14E-136,4
ZFP36,0.060305193,10.04622782,1333.279505,6.44E-282,1.37E-280,4
RALGPS1,0.02311469,8.109394103,382.4725841,1.47E-31,4.55E-31,4
RASEF,0.042258412,8.260864556,641.7958117,1.54E-114,1.02E-113,4
KIZ,0.024273798,8.152545705,266.5274446,1.23E-29,3.72E-29,4
YY1AP1,0.038775958,8.183988543,678.6889221,1.06E-88,5.77E-88,4
KLC1,0.042379673,8.208576593,761.1152814,1.10E-107,7.00E-107,4
MIR222HG,0.032727274,8.189365417,409.656362,2.52E-56,1.02E-55,4
JMJD1C,0.045451637,8.498241754,862.0156633,3.13E-185,3.41E-184,4
ZNF451,0.034484843,8.180307098,531.0665415,1.33E-65,5.91E-65,4
GPATCH2L,0.035303357,8.196290057,512.0409945,1.34E-66,6.02E-66,4
PLEKHG3,0.03322883,8.178129336,482.5360763,1.67E-61,7.15E-61,4
SH2D3A,0.041586653,8.311168293,655.3485578,1.75E-117,1.18E-116,4
PPP2R4,0.038633771,8.23924025,559.4880928,2.60E-82,1.35E-81,4
DGKH,0.045252396,8.204554693,812.3043295,1.60E-123,1.13E-122,4
HLA-DRA,0.053630937,8.930588123,650.8580408,4.01E-141,3.24E-140,4
TMSB4X,0.053598214,13.80142808,1226.822845,2.78E-260,5.06E-259,4
SUPT20H,0.046299322,8.208519172,915.9113813,3.72E-141,3.01E-140,4
KANSL1,0.041679095,8.19673659,754.2988793,1.77E-105,1.10E-104,4
VHL,0.035662827,8.143420724,681.525432,5.38E-74,2.58E-73,4
PRMT2,0.042443102,8.303228941,713.2480689,9.97E-129,7.36E-128,4
MSL1,0.038775086,8.223672972,626.7977129,9.41E-88,5.08E-87,4
STK3,0.035211057,8.191677924,524.7125765,6.38E-70,2.95E-69,4
CYP3A5,0.052798558,8.625138906,983.9723163,1.76E-210,2.27E-209,4
PSME4,0.03981422,8.256660158,627.2478762,1.84E-95,1.06E-94,4
PACSIN2,0.048648239,8.217024368,984.2622251,4.32E-149,3.70E-148,4
NPC2,0.039723143,9.3042207,684.4323686,3.60E-148,3.06E-147,4
RB1,0.034663959,8.152989636,599.6278602,6.17E-69,2.83E-68,4
LDLR,0.052818447,8.796256375,1020.422591,5.39E-218,7.28E-217,4
PLEC,0.055994899,8.746063143,1303.502159,7.06E-276,1.44E-274,4
CYTH1,0.036131566,8.180336923,574.2700579,1.47E-72,6.99E-72,4
DENND1B,0.036545483,8.15880637,635.0944271,3.94E-75,1.91E-74,4
SRSF10,0.053963214,8.542795795,1389.788985,2.35E-293,5.45E-292,4
CHMP1B,0.046771702,8.594474496,804.590998,2.76E-173,2.78E-172,4
PBX1,0.035553387,8.181240011,493.819232,2.56E-63,1.12E-62,4
PCSK9,0.036374958,8.209195084,409.1852437,3.18E-65,1.41E-64,4
LINC01420,0.038365686,8.524051297,557.8078552,1.59E-121,1.11E-120,4
SPTAN1,0.049730238,8.518856982,1078.130881,7.28E-230,1.07E-228,4
C19orf43,0.05085437,9.212390993,1189.272293,1.27E-252,2.18E-251,4
IP6K2,0.047087482,8.514673669,930.0862,2.41E-199,2.87E-198,4
CD44,0.04282352,8.792099888,810.0218611,2.04E-174,2.08E-173,4
MMP24-AS1,0.040779571,8.726122642,650.3272091,5.18E-141,4.18E-140,4
ZBTB44,0.03853579,8.22879591,581.9734355,3.86E-79,1.94E-78,4
MUC1,0.053100727,8.517735549,724.8855985,1.21E-156,1.10E-155,4
ZC3H12A,0.046949125,8.44413594,786.4226942,3.67E-164,3.49E-163,4
TJP2,0.045041224,8.339167491,757.4566105,1.93E-124,1.38E-123,4
KIAA1217,0.042131223,8.187493782,767.7014647,2.73E-103,1.67E-102,4
GART,0.042957466,8.226913317,775.6041462,1.58E-119,1.09E-118,4
KDM2A,0.04356453,8.30172224,753.1375425,8.67E-127,6.31E-126,4
CHD2,0.040015864,8.335586575,637.3683203,6.24E-118,4.24E-117,4
RALGDS,0.034502276,8.225786691,465.2775117,1.76E-67,7.97E-67,4
HES4,0.041111475,8.642411189,479.4091081,6.19E-105,3.84E-104,4
FAM118A,0.037128426,8.3236638,437.660405,4.14E-81,2.11E-80,4
PTPN3,0.034266049,8.171281013,523.2827332,4.31E-65,1.91E-64,4
TRIO,0.03305884,8.174085821,489.1034633,5.83E-61,2.48E-60,4
LPIN1,0.034920232,8.239723044,412.1988346,5.73E-67,2.59E-66,4
AKT2,0.036322539,8.212828089,560.3378168,3.53E-77,1.74E-76,4
SMAD5,0.038067548,8.190642401,616.2530069,5.93E-83,3.08E-82,4
WDFY2,0.028533558,8.13741831,430.3706572,4.93E-48,1.85E-47,4
NHLRC3,0.038386423,8.206170089,598.2962058,1.67E-87,9.02E-87,4
TC2N,0.039201149,8.263919679,575.0978671,1.46E-93,8.28E-93,4
RP11-65I12.1,0.024492961,8.183941922,213.8130546,9.34E-32,2.91E-31,4
SMG7,0.035176975,8.202411755,518.6718115,1.67E-69,7.70E-69,4
PRDM2,0.032734075,8.161847004,500.2787346,2.38E-58,9.86E-58,4
RAF1,0.03871623,8.205550022,642.3122427,9.10E-87,4.87E-86,4
NUTM2B-AS1,0.037299107,8.284133184,549.6898226,1.43E-91,7.96E-91,4
C17orf89,0.031254581,8.676981064,396.7571797,7.51E-87,4.03E-86,4
BRWD1,0.036683595,8.261595145,549.6576316,2.39E-92,1.34E-91,4
RPRD1B,0.030307643,8.165953902,426.9633858,5.04E-51,1.94E-50,4
RBM4,0.028209872,8.187819571,330.8770014,5.57E-43,1.98E-42,4
SH3GLB2,0.034051314,8.249753901,446.5490454,5.86E-69,2.69E-68,4
PIK3C2A,0.037201548,8.204740539,579.2616922,4.38E-77,2.16E-76,4
SRSF1,0.042834599,8.440994487,768.5182068,1.35E-162,1.27E-161,4
LEMD2,0.039638193,8.178567538,717.5834631,6.59E-89,3.58E-88,4
MUC20,0.025274731,8.121839961,382.0605793,1.13E-37,3.78E-37,4
TACC2,0.038226848,8.26234751,583.07249,2.62E-93,1.48E-92,4
ZNF33B,0.024464651,8.16312179,268.4040792,1.19E-30,3.66E-30,4
TOM1L2,0.028327177,8.142994635,399.1062311,2.05E-41,7.14E-41,4
WDFY1,0.037028268,8.184336195,598.0866929,5.07E-77,2.50E-76,4
LENG8,0.036656605,8.345646733,506.56317,4.92E-88,2.66E-87,4
PHC3,0.026359994,8.128750738,400.8755841,2.56E-39,8.72E-39,4
ACSS2,0.043761618,8.366176017,589.0012655,4.17E-128,3.07E-127,4
UBALD1,0.029924695,8.220274229,361.7810043,4.34E-50,1.66E-49,4
MFSD2A,0.031862754,8.169995429,420.5514828,3.58E-55,1.44E-54,4
MED13L,0.034159528,8.196685436,491.5746046,1.02E-63,4.44E-63,4
ALS2CL,0.029901,8.147688822,449.6642087,9.35E-56,3.78E-55,4
ITPKC,0.030569413,8.335966507,290.5900266,4.05E-53,1.60E-52,4
SQSTM1,0.053111046,9.78240795,1546.551357,0,0,4
PLK3,0.036786986,8.445366115,453.8130339,1.23E-97,7.18E-97,4
PPP1R12B,0.026472012,8.138646269,359.4663754,3.95E-40,1.35E-39,4
DOT1L,0.027862593,8.140998017,398.0966017,9.40E-41,3.25E-40,4
TMEM63A,0.043105013,8.391945429,730.7608571,1.69E-152,1.48E-151,4
GTF3C1,0.031434405,8.141627794,525.1339687,3.12E-56,1.27E-55,4
PLEKHM1,0.026692161,8.16456856,317.4154029,2.90E-37,9.60E-37,4
PRELID2,0.034637614,8.261301204,463.4085721,3.95E-78,1.97E-77,4
HCG18,0.025129049,8.150477742,305.5863311,1.20E-34,3.85E-34,4
CHERP,0.028779716,8.194332929,352.0676163,3.78E-44,1.36E-43,4
EVPL,0.023732808,8.17782373,242.9553263,1.21E-31,3.75E-31,4
MST1R,0.031625157,8.181521731,438.0412787,4.00E-61,1.71E-60,4
FBXW2,0.033502805,8.178362936,502.8924728,3.28E-62,1.41E-61,4
SREBF1,0.033221205,8.264790351,342.3668119,4.32E-57,1.76E-56,4
U2AF1,0.026107385,8.167031517,298.3324496,1.13E-34,3.64E-34,4
NDEL1,0.029092891,8.163237207,377.6570147,3.43E-42,1.21E-41,4
GTPBP1,0.028602001,8.160744886,374.8146573,8.47E-42,2.97E-41,4
TFF3,0.053214006,11.81221373,633.0762262,2.19E-137,1.72E-136,4
RNF44,0.038679784,8.268639953,594.0215628,3.18E-92,1.78E-91,4
ARHGAP27,0.042931985,8.335105116,726.8322996,7.22E-132,5.44E-131,4
EXOC7,0.038613946,8.250672004,605.1539523,2.99E-92,1.67E-91,4
FNIP1,0.03887723,8.365056971,561.994825,6.69E-110,4.30E-109,4
ANO6,0.031537924,8.139118247,522.0503114,4.85E-55,1.94E-54,4
RUNX1,0.039459778,8.345503205,555.2862011,6.13E-117,4.13E-116,4
RASAL2,0.032978732,8.174692938,476.8631843,2.18E-64,9.58E-64,4
FUS,0.048517169,9.145746432,1464.673689,1.84837080918563e-308,4.78E-307,4
SLC37A1,0.041069946,8.209325409,709.270928,2.20E-106,1.38E-105,4
ZNF131,0.034994022,8.220837944,493.8889596,3.59E-73,1.71E-72,4
SLC35E2B,0.029690379,8.163464132,402.3482526,2.34E-45,8.53E-45,4
HGS,0.037222428,8.311203153,549.3666784,9.00E-94,5.10E-93,4
MAST4,0.031486824,8.187590067,381.5003412,1.49E-51,5.77E-51,4
PHKG2,0.034279007,8.178506259,523.7691987,1.15E-65,5.12E-65,4
ARHGAP8,0.028945891,8.157378851,389.3802869,2.18E-44,7.88E-44,4
LINC00493,0.037225203,9.156361353,594.3388316,3.13E-129,2.32E-128,4
C16orf72,0.043222663,8.311510837,740.3612038,3.34E-125,2.40E-124,4
GSDMB,0.030968065,8.138982523,518.8907928,1.00E-58,4.18E-58,4
TNFRSF14,0.037208271,8.309492166,528.063153,2.07E-90,1.14E-89,4
MYO9A,0.028488563,8.128936289,470.7219331,6.72E-46,2.47E-45,4
SLC20A1,0.044301471,8.664871164,680.1431916,2.86E-147,2.42E-146,4
ARFGAP2,0.040462854,8.253071699,676.1297954,1.40E-106,8.79E-106,4
PDXDC1,0.042681219,8.338915647,716.795328,1.15E-132,8.70E-132,4
ADGRA3,0.028766444,8.137344532,429.7676897,1.43E-44,5.17E-44,4
FBLIM1,0.040568415,8.222565145,671.5651024,8.29E-103,5.05E-102,4
FEM1C,0.034098297,8.196065365,469.772256,9.93E-66,4.43E-65,4
PIGZ,0.021071261,8.196813087,171.8311262,4.07E-26,1.18E-25,4
PPP5C,0.035003023,8.166668548,584.2780061,1.27E-70,5.92E-70,4
ST5,0.026200591,8.155237353,325.2711302,1.88E-39,6.39E-39,4
CTA-293F17.1,0.023760129,8.206453707,213.9121368,2.64E-30,8.06E-30,4
PFKFB3,0.027005841,8.143149547,349.5941922,3.59E-40,1.23E-39,4
ARHGAP17,0.030999241,8.160674802,455.5746178,1.18E-52,4.61E-52,4
