Table of FindAllMarkers Function Output: Gene Expression Differential Analysis Results,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ARGLU1,3.71E-55,1.390607538,0.69,0.704,1.16E-50,TUF,ARGLU1
MYO1B,8.88E-54,1.927002255,0.382,0.241,2.78E-49,TUF,MYO1B
ATP5IF1,1.97E-50,1.401270436,0.492,0.347,6.16E-46,TUF,ATP5IF1
PPDPF,2.53E-49,0.7577957,0.862,0.935,7.93E-45,TUF,PPDPF
TET2,5.12E-49,1.497395622,0.251,0.117,1.60E-44,TUF,TET2
AKAP9,7.54E-49,1.343221393,0.649,0.644,2.36E-44,TUF,AKAP9
ELF3,2.58E-48,1.059093036,0.864,0.906,8.09E-44,TUF,ELF3
ANXA4,1.04E-47,1.930655369,0.562,0.602,3.26E-43,TUF,ANXA4
PTPN6,3.81E-47,1.711161336,0.281,0.147,1.20E-42,TUF,PTPN6
PROX1,6.98E-45,1.26900577,0.275,0.141,2.19E-40,TUF,PROX1
KMT2C,7.34E-41,1.925596211,0.465,0.378,2.30E-36,TUF,KMT2C
UTRN,1.14E-40,1.589619384,0.291,0.164,3.58E-36,TUF,UTRN
CHD6,1.68E-40,1.574002975,0.366,0.241,5.25E-36,TUF,CHD6
KRT8,3.39E-38,0.470639879,0.95,0.949,1.06E-33,TUF,KRT8
LTBR,5.10E-37,0.287924875,0.17,0.425,1.60E-32,TUF,LTBR
SKAP2,1.25E-36,1.654038009,0.391,0.295,3.92E-32,TUF,SKAP2
ELOB,7.32E-35,0.806135018,0.579,0.454,2.29E-30,TUF,ELOB
ITGB4,3.57E-34,0.398249927,0.148,0.386,1.12E-29,TUF,ITGB4
IFRD1,3.95E-33,0.364122532,0.194,0.441,1.24E-28,TUF,IFRD1
TMEM219,4.24E-33,0.251697552,0.298,0.597,1.33E-28,TUF,TMEM219
TAPBP,5.31E-33,0.290362047,0.297,0.606,1.66E-28,TUF,TAPBP
RBM17,6.31E-33,0.255004227,0.221,0.486,1.98E-28,TUF,RBM17
STAT3,3.16E-32,0.305578144,0.193,0.435,9.90E-28,TUF,STAT3
DAZAP2,5.52E-32,0.269851613,0.236,0.503,1.73E-27,TUF,DAZAP2
SLC38A2,1.51E-31,0.323215537,0.254,0.522,4.72E-27,TUF,SLC38A2
NUCB1,1.60E-31,0.263196894,0.191,0.431,5.00E-27,TUF,NUCB1
EIF4A3,2.42E-31,0.284926522,0.172,0.398,7.59E-27,TUF,EIF4A3
PPP2R2A,1.04E-30,0.270296461,0.127,0.331,3.26E-26,TUF,PPP2R2A
PLK3,1.74E-30,0.293561125,0.088,0.272,5.46E-26,TUF,PLK3
RHOB,4.42E-30,0.389150844,0.364,0.684,1.38E-25,TUF,RHOB
CC2D1A,8.64E-30,1.712279524,0.373,0.286,2.71E-25,TUF,CC2D1A
CFLAR,1.20E-29,0.300344004,0.212,0.46,3.75E-25,TUF,CFLAR
GSDMD,3.33E-29,0.259048361,0.225,0.477,1.04E-24,TUF,GSDMD
ZNF428,3.57E-29,1.485815467,0.394,0.33,1.12E-24,TUF,ZNF428
CLSTN1,8.63E-29,0.273972469,0.175,0.4,2.70E-24,TUF,CLSTN1
MTRNR2L12,1.75E-28,2.087642951,0.425,0.347,5.49E-24,TUF,MTRNR2L12
UBR4,2.12E-28,0.292935558,0.111,0.297,6.65E-24,TUF,UBR4
NPEPPS,4.72E-28,0.31244884,0.176,0.392,1.48E-23,TUF,NPEPPS
CTTN,6.43E-28,0.252502495,0.258,0.518,2.01E-23,TUF,CTTN
MFSD10,1.07E-27,0.255135415,0.177,0.397,3.36E-23,TUF,MFSD10
ZDHHC3,1.26E-27,0.26965532,0.171,0.383,3.95E-23,TUF,ZDHHC3
SNORC,1.35E-27,1.933457058,0.262,0.16,4.24E-23,TUF,SNORC
GAS6,1.73E-27,0.276887031,0.164,0.377,5.42E-23,TUF,GAS6
ANKRD10,1.87E-27,0.320070872,0.195,0.428,5.86E-23,TUF,ANKRD10
TRABD,2.36E-27,0.267285007,0.148,0.352,7.41E-23,TUF,TRABD
RNF149,2.91E-27,0.387689461,0.141,0.34,9.12E-23,TUF,RNF149
KIAA1324,2.97E-27,1.351582191,0.277,0.176,9.29E-23,TUF,KIAA1324
DDX3X,3.60E-27,0.378339765,0.229,0.477,1.13E-22,TUF,DDX3X
CTNND1,3.75E-27,0.273463257,0.276,0.548,1.18E-22,TUF,CTNND1
KRT10,7.32E-27,0.279504462,0.293,0.581,2.29E-22,TUF,KRT10
SMTN,7.75E-27,1.478223461,0.296,0.201,2.43E-22,TUF,SMTN
RAB1B,1.04E-26,0.309473229,0.162,0.372,3.24E-22,TUF,RAB1B
WDR74,1.60E-26,0.516227921,0.123,0.309,5.03E-22,TUF,WDR74
CNOT1,1.69E-26,0.277869816,0.161,0.366,5.30E-22,TUF,CNOT1
PMAIP1,2.63E-26,0.270927185,0.2,0.423,8.24E-22,TUF,PMAIP1
COX20,3.67E-26,0.281973479,0.254,0.506,1.15E-21,TUF,COX20
ABCF1,5.19E-26,0.260162706,0.177,0.387,1.63E-21,TUF,ABCF1
TMEM259,7.42E-26,0.303226756,0.163,0.367,2.33E-21,TUF,TMEM259
KLF5,7.57E-26,0.431324427,0.397,0.698,2.37E-21,TUF,KLF5
DDX5,1.19E-25,0.925368504,0.651,0.799,3.73E-21,TUF,DDX5
ANKRD11,1.25E-25,0.289081176,0.178,0.385,3.91E-21,TUF,ANKRD11
CDKN1A,1.91E-25,0.441357853,0.227,0.464,5.97E-21,TUF,CDKN1A
RBBP6,7.46E-25,0.373020473,0.201,0.419,2.34E-20,TUF,RBBP6
KHDRBS1,1.14E-24,0.27872242,0.232,0.48,3.59E-20,TUF,KHDRBS1
ACTR3,1.26E-24,0.271083436,0.296,0.565,3.93E-20,TUF,ACTR3
NT5C3A,1.86E-24,0.287732259,0.234,0.474,5.84E-20,TUF,NT5C3A
SNRNP200,2.22E-24,0.298829868,0.165,0.364,6.94E-20,TUF,SNRNP200
STXBP2,2.52E-24,0.282687657,0.184,0.383,7.89E-20,TUF,STXBP2
ATP6V1E1,2.81E-24,0.319469189,0.166,0.369,8.81E-20,TUF,ATP6V1E1
OAT,4.37E-24,0.260127989,0.147,0.337,1.37E-19,TUF,OAT
THOC2,4.95E-24,0.38497561,0.229,0.453,1.55E-19,TUF,THOC2
GPS1,5.34E-24,0.259924863,0.145,0.33,1.67E-19,TUF,GPS1
SREK1,7.41E-24,0.291370638,0.18,0.381,2.32E-19,TUF,SREK1
U2AF2,7.59E-24,0.288174392,0.144,0.328,2.38E-19,TUF,U2AF2
CHD1,7.70E-24,0.268858962,0.161,0.351,2.41E-19,TUF,CHD1
HNRNPD,9.50E-24,0.270613253,0.265,0.512,2.98E-19,TUF,HNRNPD
EIF2AK1,1.11E-23,0.333226844,0.187,0.396,3.48E-19,TUF,EIF2AK1
PIH1D1,1.35E-23,0.261553994,0.147,0.331,4.23E-19,TUF,PIH1D1
ZNF207,1.40E-23,0.374163248,0.239,0.477,4.40E-19,TUF,ZNF207
PABPC4,1.49E-23,0.505498067,0.207,0.427,4.68E-19,TUF,PABPC4
TNFRSF14,1.70E-23,0.301774553,0.095,0.251,5.32E-19,TUF,TNFRSF14
POF1B,1.74E-23,0.382057834,0.183,0.386,5.45E-19,TUF,POF1B
MYO5B,2.01E-23,0.394626332,0.107,0.271,6.30E-19,TUF,MYO5B
TMEM106C,2.14E-23,0.353630992,0.251,0.488,6.69E-19,TUF,TMEM106C
EML4,2.57E-23,0.413571735,0.199,0.415,8.05E-19,TUF,EML4
UBE2B,2.60E-23,0.279061743,0.288,0.556,8.15E-19,TUF,UBE2B
UBE2D2,2.64E-23,0.388174764,0.27,0.528,8.27E-19,TUF,UBE2D2
ABI1,3.36E-23,0.263809632,0.16,0.349,1.05E-18,TUF,ABI1
NDUFA8,4.68E-23,0.286917513,0.239,0.474,1.47E-18,TUF,NDUFA8
DENR,5.11E-23,0.256069563,0.184,0.387,1.60E-18,TUF,DENR
TMEM248,6.93E-23,0.385637144,0.206,0.42,2.17E-18,TUF,TMEM248
THRAP3,6.93E-23,0.255788375,0.211,0.425,2.17E-18,TUF,THRAP3
NFKBIZ,9.51E-23,0.743303683,0.21,0.433,2.98E-18,TUF,NFKBIZ
RICTOR,9.60E-23,1.565456602,0.296,0.21,3.01E-18,TUF,RICTOR
SLC35C2,1.26E-22,0.251446217,0.115,0.279,3.95E-18,TUF,SLC35C2
FEZ2,1.35E-22,0.365145271,0.122,0.288,4.22E-18,TUF,FEZ2
RALBP1,1.44E-22,0.356458582,0.233,0.464,4.52E-18,TUF,RALBP1
NSRP1,1.58E-22,0.256396078,0.157,0.339,4.96E-18,TUF,NSRP1
RBM38,1.76E-22,1.269378102,0.293,0.213,5.51E-18,TUF,RBM38
DDX17,1.79E-22,1.447148738,0.555,0.605,5.60E-18,TUF,DDX17
FOXP1,2.68E-22,0.285718681,0.237,0.46,8.41E-18,TUF,FOXP1
HMGN3,2.76E-22,0.344218827,0.192,0.401,8.64E-18,TUF,HMGN3
PLK2,3.60E-22,0.487836996,0.099,0.253,1.13E-17,TUF,PLK2
FKBP8,3.65E-22,0.407865182,0.316,0.586,1.14E-17,TUF,FKBP8
WSB1,3.68E-22,1.524865928,0.538,0.565,1.15E-17,TUF,WSB1
WAC,4.06E-22,0.262404569,0.194,0.397,1.27E-17,TUF,WAC
TADA3,4.80E-22,0.256008909,0.154,0.331,1.51E-17,TUF,TADA3
AIP,7.51E-22,0.266783583,0.126,0.292,2.35E-17,TUF,AIP
BECN1,8.21E-22,0.258817551,0.148,0.326,2.57E-17,TUF,BECN1
DHX15,8.69E-22,0.27352693,0.156,0.331,2.72E-17,TUF,DHX15
SMC3,9.22E-22,0.268241469,0.154,0.335,2.89E-17,TUF,SMC3
ANXA3,1.07E-21,0.299128329,0.205,0.411,3.36E-17,TUF,ANXA3
SRSF1,1.08E-21,0.319829441,0.164,0.348,3.38E-17,TUF,SRSF1
TOP1,1.39E-21,0.400081994,0.308,0.575,4.34E-17,TUF,TOP1
PPIG,1.76E-21,0.292516641,0.287,0.533,5.52E-17,TUF,PPIG
ILK,1.77E-21,0.422507742,0.156,0.337,5.53E-17,TUF,ILK
SYF2,1.93E-21,0.27323326,0.307,0.569,6.04E-17,TUF,SYF2
SOX4,2.22E-21,1.225975222,0.586,0.659,6.97E-17,TUF,SOX4
UBE2D1,2.24E-21,0.380920316,0.142,0.31,7.03E-17,TUF,UBE2D1
WDR83OS,2.58E-21,0.354713107,0.289,0.542,8.09E-17,TUF,WDR83OS
SMDT1,2.77E-21,0.301193633,0.325,0.596,8.69E-17,TUF,SMDT1
TJP3,3.86E-21,0.31349842,0.16,0.342,1.21E-16,TUF,TJP3
SP100,3.92E-21,0.388630086,0.128,0.292,1.23E-16,TUF,SP100
COX17,4.18E-21,0.357326543,0.341,0.609,1.31E-16,TUF,COX17
FAM133B,4.21E-21,0.427956025,0.244,0.47,1.32E-16,TUF,FAM133B
RAB40B,4.69E-21,0.26586688,0.114,0.27,1.47E-16,TUF,RAB40B
OTUB1,5.48E-21,0.352162213,0.151,0.326,1.72E-16,TUF,OTUB1
CCND1,5.83E-21,0.310363174,0.263,0.501,1.83E-16,TUF,CCND1
FAM204A,6.53E-21,0.330166596,0.182,0.373,2.05E-16,TUF,FAM204A
CALM2,6.88E-21,1.175433529,0.578,0.667,2.15E-16,TUF,CALM2
ATP6V0D1,6.92E-21,0.363266805,0.213,0.422,2.17E-16,TUF,ATP6V0D1
TMOD3,7.34E-21,0.286286679,0.161,0.338,2.30E-16,TUF,TMOD3
MTIF3,7.82E-21,0.253967373,0.25,0.474,2.45E-16,TUF,MTIF3
C11orf58,7.97E-21,0.293297905,0.286,0.541,2.50E-16,TUF,C11orf58
AFG3L2,8.59E-21,0.324231612,0.152,0.323,2.69E-16,TUF,AFG3L2
VPS36,1.12E-20,0.313920966,0.182,0.369,3.52E-16,TUF,VPS36
TRPT1,1.37E-20,0.254239478,0.11,0.261,4.28E-16,TUF,TRPT1
SERINC5,1.41E-20,0.365804961,0.161,0.345,4.41E-16,TUF,SERINC5
CSRP1,1.55E-20,0.258516588,0.14,0.307,4.86E-16,TUF,CSRP1
ZBTB38,2.17E-20,0.476566402,0.187,0.383,6.81E-16,TUF,ZBTB38
TUBA4A,2.31E-20,0.3416328,0.2,0.401,7.24E-16,TUF,TUBA4A
TACC2,2.75E-20,0.288096781,0.116,0.268,8.62E-16,TUF,TACC2
ADAR,2.93E-20,0.335643387,0.19,0.38,9.19E-16,TUF,ADAR
IRF3,3.08E-20,0.31244702,0.177,0.359,9.64E-16,TUF,IRF3
MAP3K11,3.67E-20,0.333612592,0.142,0.308,1.15E-15,TUF,MAP3K11
NR4A2,4.04E-20,0.266560494,0.148,0.313,1.26E-15,TUF,NR4A2
GNAQ,4.58E-20,0.281223407,0.18,0.36,1.44E-15,TUF,GNAQ
ASXL1,5.18E-20,0.275283999,0.111,0.258,1.62E-15,TUF,ASXL1
CSK,9.66E-20,1.355026315,0.274,0.199,3.03E-15,TUF,CSK
SOX9,9.77E-20,1.392824131,0.504,0.523,3.06E-15,TUF,SOX9
TAF15,1.19E-19,0.288617395,0.132,0.289,3.71E-15,TUF,TAF15
USP16,1.39E-19,0.378172633,0.221,0.425,4.34E-15,TUF,USP16
UCKL1,1.42E-19,0.31389199,0.116,0.268,4.44E-15,TUF,UCKL1
CAMK2D,1.75E-19,1.390231135,0.342,0.278,5.48E-15,TUF,CAMK2D
VPS37B,1.81E-19,0.413393897,0.184,0.366,5.67E-15,TUF,VPS37B
PTPRF,1.86E-19,0.351381285,0.271,0.497,5.83E-15,TUF,PTPRF
AKAP13,1.87E-19,0.435346262,0.247,0.465,5.87E-15,TUF,AKAP13
IFT57,2.13E-19,0.260307726,0.175,0.355,6.66E-15,TUF,IFT57
MRPS31,2.44E-19,0.27855025,0.114,0.259,7.64E-15,TUF,MRPS31
CD47,2.52E-19,0.405555838,0.253,0.471,7.91E-15,TUF,CD47
GOLGA4,2.67E-19,0.416696007,0.251,0.468,8.37E-15,TUF,GOLGA4
C1orf35,2.96E-19,0.288774126,0.15,0.315,9.26E-15,TUF,C1orf35
VCP,2.96E-19,0.367308766,0.26,0.484,9.29E-15,TUF,VCP
MORF4L1,3.72E-19,0.276787068,0.314,0.58,1.17E-14,TUF,MORF4L1
BIK,3.85E-19,1.501533391,0.41,0.396,1.21E-14,TUF,BIK
ARHGEF12,3.87E-19,0.354057848,0.139,0.296,1.21E-14,TUF,ARHGEF12
TCERG1,3.94E-19,0.312464103,0.153,0.32,1.23E-14,TUF,TCERG1
CTBP2,4.13E-19,0.378176177,0.225,0.432,1.29E-14,TUF,CTBP2
HOOK2,4.49E-19,0.39717354,0.213,0.411,1.41E-14,TUF,HOOK2
CSNK1G2,5.44E-19,0.315434084,0.111,0.256,1.71E-14,TUF,CSNK1G2
MRPL28,5.87E-19,0.266921531,0.136,0.29,1.84E-14,TUF,MRPL28
NFAT5,5.89E-19,0.471966385,0.168,0.34,1.85E-14,TUF,NFAT5
TTC17,6.64E-19,0.322599806,0.134,0.291,2.08E-14,TUF,TTC17
CAPRIN1,7.86E-19,0.346022331,0.21,0.404,2.46E-14,TUF,CAPRIN1
WDR33,8.07E-19,0.279283322,0.155,0.321,2.53E-14,TUF,WDR33
PPP4R2,8.07E-19,0.250623546,0.194,0.377,2.53E-14,TUF,PPP4R2
VCL,9.69E-19,0.539112783,0.157,0.329,3.04E-14,TUF,VCL
CAT,1.15E-18,0.250300705,0.149,0.31,3.61E-14,TUF,CAT
PSMB10,1.43E-18,0.440926453,0.145,0.309,4.47E-14,TUF,PSMB10
CAND1,2.05E-18,0.271983064,0.155,0.318,6.42E-14,TUF,CAND1
RNF10,2.08E-18,0.383811651,0.161,0.326,6.53E-14,TUF,RNF10
CSNK2A1,2.45E-18,0.26533991,0.152,0.317,7.66E-14,TUF,CSNK2A1
RSRC1,2.59E-18,0.292466079,0.134,0.286,8.12E-14,TUF,RSRC1
THUMPD3-AS1,2.79E-18,0.324657393,0.149,0.306,8.73E-14,TUF,THUMPD3-AS1
CUX1,2.87E-18,0.401850796,0.166,0.338,8.99E-14,TUF,CUX1
IST1,3.20E-18,0.302618201,0.193,0.369,1.00E-13,TUF,IST1
GABARAPL2,3.59E-18,0.328136113,0.301,0.56,1.12E-13,TUF,GABARAPL2
FKBP9,3.68E-18,0.284833577,0.139,0.293,1.15E-13,TUF,FKBP9
GRN,3.82E-18,0.353447718,0.376,0.656,1.20E-13,TUF,GRN
TMEM8A,4.05E-18,0.270173775,0.121,0.266,1.27E-13,TUF,TMEM8A
PLEC,4.62E-18,0.54817095,0.274,0.511,1.45E-13,TUF,PLEC
TMC5,4.77E-18,0.400958307,0.293,0.529,1.50E-13,TUF,TMC5
LYPLA1,4.82E-18,0.319503694,0.258,0.487,1.51E-13,TUF,LYPLA1
RYBP,5.40E-18,0.273393898,0.128,0.275,1.69E-13,TUF,RYBP
ARIH1,5.63E-18,0.4294954,0.133,0.285,1.76E-13,TUF,ARIH1
NMT1,6.36E-18,0.283699341,0.116,0.256,1.99E-13,TUF,NMT1
SQSTM1,6.55E-18,0.405115305,0.441,0.736,2.05E-13,TUF,SQSTM1
CLK1,6.58E-18,0.399746119,0.219,0.412,2.06E-13,TUF,CLK1
PPP6R1,8.61E-18,0.267886744,0.112,0.25,2.70E-13,TUF,PPP6R1
USP12,1.18E-17,0.424649919,0.122,0.266,3.69E-13,TUF,USP12
ERLEC1,1.50E-17,0.340245024,0.181,0.352,4.69E-13,TUF,ERLEC1
NDUFA5,1.53E-17,0.273857834,0.289,0.528,4.79E-13,TUF,NDUFA5
CWC25,1.63E-17,0.292353307,0.125,0.269,5.12E-13,TUF,CWC25
IGF2BP2,1.67E-17,0.47725352,0.173,0.343,5.23E-13,TUF,IGF2BP2
MYL6,1.72E-17,0.475672702,0.792,0.903,5.37E-13,TUF,MYL6
ATOX1,1.91E-17,0.373601621,0.3,0.531,5.97E-13,TUF,ATOX1
FBXO32,2.24E-17,1.385217666,0.327,0.26,7.03E-13,TUF,FBXO32
STK38,2.35E-17,1.459282707,0.323,0.263,7.35E-13,TUF,STK38
ARL16,2.71E-17,0.364101315,0.142,0.294,8.48E-13,TUF,ARL16
RALGPS2,2.87E-17,1.32292638,0.282,0.21,9.00E-13,TUF,RALGPS2
OS9,2.87E-17,0.368995348,0.257,0.471,9.00E-13,TUF,OS9
BAZ2A,3.10E-17,0.40800527,0.169,0.336,9.71E-13,TUF,BAZ2A
CHDH,3.34E-17,1.347888294,0.291,0.224,1.05E-12,TUF,CHDH
GNB1,3.35E-17,0.37967881,0.243,0.456,1.05E-12,TUF,GNB1
HEPH,3.59E-17,0.317134812,0.19,0.362,1.12E-12,TUF,HEPH
BAZ1B,3.76E-17,0.322787479,0.174,0.339,1.18E-12,TUF,BAZ1B
CCDC14,4.67E-17,1.47486397,0.326,0.269,1.46E-12,TUF,CCDC14
SNX9,5.03E-17,1.627904548,0.366,0.33,1.58E-12,TUF,SNX9
RPS6KA3,6.62E-17,0.333538228,0.172,0.335,2.07E-12,TUF,RPS6KA3
HMG20B,6.73E-17,0.275473146,0.184,0.352,2.11E-12,TUF,HMG20B
CNOT2,6.85E-17,0.257202531,0.156,0.309,2.15E-12,TUF,CNOT2
SIAH2,6.92E-17,0.436026556,0.116,0.255,2.17E-12,TUF,SIAH2
PFDN1,7.49E-17,0.270682138,0.19,0.364,2.35E-12,TUF,PFDN1
OGT,7.74E-17,0.415111231,0.148,0.303,2.43E-12,TUF,OGT
BRD7,8.57E-17,0.326755507,0.191,0.361,2.68E-12,TUF,BRD7
CSNK1D,8.76E-17,0.412352254,0.146,0.298,2.74E-12,TUF,CSNK1D
SRSF6,9.48E-17,0.34704001,0.24,0.437,2.97E-12,TUF,SRSF6
PTPN12,9.70E-17,0.420096141,0.177,0.345,3.04E-12,TUF,PTPN12
SEC62,1.30E-16,0.410783521,0.325,0.575,4.07E-12,TUF,SEC62
GADD45B,1.38E-16,1.014450874,0.234,0.449,4.32E-12,TUF,GADD45B
EMC10,1.50E-16,0.383921197,0.28,0.506,4.71E-12,TUF,EMC10
C6orf62,1.55E-16,0.275549725,0.228,0.415,4.85E-12,TUF,C6orf62
CCDC186,1.59E-16,0.313942462,0.223,0.406,4.99E-12,TUF,CCDC186
PELI1,1.68E-16,0.261586146,0.117,0.25,5.27E-12,TUF,PELI1
UBE2H,1.87E-16,0.392126609,0.183,0.351,5.87E-12,TUF,UBE2H
MED13,1.95E-16,0.260398986,0.156,0.306,6.10E-12,TUF,MED13
CHPF,2.49E-16,0.34014974,0.146,0.297,7.81E-12,TUF,CHPF
MED28,2.90E-16,0.268261462,0.152,0.303,9.09E-12,TUF,MED28
PDCD4,2.90E-16,0.289039892,0.27,0.474,9.09E-12,TUF,PDCD4
RBMX,2.98E-16,0.476839429,0.263,0.483,9.33E-12,TUF,RBMX
PLA2G12A,3.29E-16,0.322632521,0.135,0.278,1.03E-11,TUF,PLA2G12A
SRSF4,3.48E-16,0.501561567,0.23,0.419,1.09E-11,TUF,SRSF4
KLHDC2,3.56E-16,0.307096233,0.205,0.38,1.11E-11,TUF,KLHDC2
TRA2A,4.37E-16,0.432234972,0.245,0.447,1.37E-11,TUF,TRA2A
SMARCB1,5.14E-16,0.313975938,0.191,0.365,1.61E-11,TUF,SMARCB1
CELF1,5.98E-16,0.433823854,0.21,0.387,1.87E-11,TUF,CELF1
SOD3,6.06E-16,0.539705722,0.155,0.308,1.90E-11,TUF,SOD3
CUL3,6.93E-16,0.343645575,0.165,0.322,2.17E-11,TUF,CUL3
VOPP1,7.05E-16,0.255680596,0.12,0.256,2.21E-11,TUF,VOPP1
NDUFA3,8.56E-16,0.325802014,0.355,0.61,2.68E-11,TUF,NDUFA3
INTS6,1.02E-15,0.459963794,0.129,0.266,3.18E-11,TUF,INTS6
DAPK3,1.02E-15,0.273685957,0.123,0.257,3.20E-11,TUF,DAPK3
ARFGEF1,1.34E-15,0.25671739,0.133,0.267,4.19E-11,TUF,ARFGEF1
DYNC1I2,1.47E-15,0.316096792,0.247,0.446,4.61E-11,TUF,DYNC1I2
ACBD6,1.50E-15,0.288458068,0.139,0.279,4.69E-11,TUF,ACBD6
TRPC4AP,1.54E-15,0.40691458,0.137,0.277,4.81E-11,TUF,TRPC4AP
ARMCX3,1.75E-15,0.26242593,0.125,0.256,5.47E-11,TUF,ARMCX3
RHOG,1.79E-15,0.435169407,0.157,0.311,5.61E-11,TUF,RHOG
HTATSF1,2.00E-15,0.261998013,0.156,0.304,6.26E-11,TUF,HTATSF1
